DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,rama4d_d,MES,DPTO,fex_c_2011
4489794,1,3,1,70,5,16,72,4,,2,16,4,,1,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,98,98,60,1,2,6031,12,5,1188.739043
4489796,1,3,1,70,5,2,48,1,,2,48,1,,9,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,850000,2,1.79769313486232e+308,45,33,93,1,1,9303,12,5,1128.084425
4489806,1,1,1,70,5,2,48,1,,2,2,1,,4,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1200000,2,1.79769313486232e+308,13,13,80,1,1,8011,12,5,1273.92167
4489810,1,2,1,70,5,48,48,1,,2,32,3,,1,2,2,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1300000,2,1.79769313486232e+308,59,59,95,1,2,9500,12,5,1396.796261
4489815,1,2,1,70,5,3,48,4,,2,32,4,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,1500000,2,1.79769313486232e+308,15,15,1,1,1,112,12,5,1013.191197
4489821,1,1,1,70,5,4,48,1,,2,4,1,,9,2,4,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,990000,1000000,2,1.79769313486232e+308,40,97,15,1,1,1551,12,5,1192.827228
4489833,1,2,1,70,5,8,48,1,,2,8,1,,9,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,76,95,45,1,1,4521,12,5,992.6263427
4489838,1,2,1,70,5,3,48,1,,2,1,1,,7,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,250000,737700,2,1.79769313486232e+308,58,59,74,1,1,7499,12,5,1221.248416
4489846,1,2,1,70,5,3,48,1,,2,3,1,,9,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,737717,1000000,2,1.79769313486232e+308,79,79,18,1,1,1810,12,5,1013.191197
4489857,1,2,1,70,5,4,48,1,,2,4,1,,2,2,1,,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,,1,1,500000,737717,2,1.79769313486232e+308,79,79,52,1,1,5271,12,5,1052.690416
